Name,Code,Type,Desc
FID_DBXS,1518,R,担保系数
FID_SJZD,1519,C,数据字典
FID_SRKJLX,1520,I,输入控件类型
FID_DZFS,1521,I,客户对帐单寄送方式
FID_CXSL,1522,I,撤销数量
FID_BLSFUNC,1523,I,对应的BLS功能码
FID_QSFY,1524,R,清算费用
FID_RGRQ,1525,I,认购日期
FID_JGRQ,1526,I,交割日期
FID_JYSCPFL,1527,C,交易所产品分类
FID_JYSCPZL,1528,C,交易所产品子类
FID_DDLXXZ,1529,C,订单类型限制
FID_BSDDZXSL,1530,I,冰山订单最小商量
FID_BSDDZXPLSL,1531,I,冰山订单最小披露数量
FID_JYQX,1532,I,交易权限
FID_SBJB,1533,I,申报级别
FID_ZSXJ,1534,R,止损限价
FID_ISIN,1535,C,ISIN代码
FID_DDYXRQ,1536,I,订单有效日期
FID_DDSXXZ,1537,I,订单时效限制
FID_DDJYXZ,1538,I,订单交易限制
FID_JYSDDBH,1539,C,交易所订单编号
FID_BRCJSL,1540,I,本日成交数量
FID_BRCJJE,1541,R,本日成交金额
FID_EN_SBJB,1542,C,申报级别范围
FID_DZXXBZ,1543,I,多值信息标志
FID_DXLX,1544,I,对象类型
FID_EN_LOGINID,1545,C,登录ID范围
FID_EN_JSDM,1546,C,角色代码
FID_JYBWFL,1547,I,交易备忘分类
FID_QRSMJG,1548,I,确认扫描间隔
FID_HBSMJG,1549,I,回报扫描间隔
FID_NONTRADINGORDTYPE,1550,C,NGTS非交易订单类型
FID_ORDTYPE,1551,C,NGTS接口订单类型
FID_SIDE,1552,C,NGTS买卖方向
FID_TIMEINFORCE,1553,C,NGTS时效限制
FID_TRADINGSESSIO,1554,C,NGTS交易限制
FID_XTCSBZ,1555,I,系统测试标志
FID_ZJJRBZ,1556,I,主经纪人标志
FID_PJZC,1557,R,平均资产
FID_KHMMSQ,1558,I,客户密码授权
FID_TJRQ,1559,I,统计日期
FID_BCDJSL,1560,I,本地冻结数量
FID_TQSL,1561,I,透券数量
FID_EN_SQLB,1562,C,申请类别范围
FID_RGJG,1563,R,认购价格
FID_RGSL,1564,I,认购数量
FID_CGLB,1565,I,存管类别
FID_CGZH,1566,C,存管帐号
FID_CGYHDM,1567,C,存管银行代码
FID_CGYHZH,1568,C,存管银行帐户
FID_CGCLJG,1569,I,存管行处理结果
FID_CGJGSM,1570,C,存管行结果说明
FID_CGCLRQ,1571,I,存管行处理日期
FID_CGCLSJ,1572,C,存管行处理时间
FID_CGWBCLJG,1573,C,存管行外部处理结果
FID_CXWBLSH,1574,C,撤销外部流水号
FID_YHYE,1575,R,银行余额
FID_ZBYH,1576,I,存管主办银行
FID_CGJGDM,1577,C,存管机构代码
FID_MRSL6,1578,I,买入数量6
FID_MRSL7,1579,I,买入数量7
FID_MRSL8,1580,I,买入数量8
FID_MRSL9,1581,I,买入数量9
FID_MRSL10,1582,I,买入数量10
FID_MCSL6,1583,I,卖出数量6
FID_MCSL7,1584,I,卖出数量7
FID_MCSL8,1585,I,卖出数量8
FID_MCSL9,1586,I,卖出数量9
FID_MCSL10,1587,I,卖出数量10
FID_MRJG6,1588,R,买入价格6
FID_MRJG7,1589,R,买入价格7
FID_MRJG8,1590,R,买入价格8
FID_MRJG9,1591,R,买入价格9
FID_MRJG10,1592,R,买入价格10
FID_MCJG6,1593,R,卖出价格6
FID_MCJG7,1594,R,卖出价格7
FID_MCJG8,1595,R,卖出价格8
FID_MCJG9,1596,R,卖出价格9
FID_MCJG10,1597,R,卖出价格10
FID_PCDWBL,1598,R,平仓到位比例
FID_MRJG,1599,R,买入价格
FID_TOKEN,1600,C,客户登录令牌
FID_XYDJ,1601,C,信用等级
FID_CCSLXZ,1602,C,持仓数量限制
FID_YJBL,1603,C,预警比例
FID_PCBL,1604,C,平仓比例
FID_LTSL,1605,C,流通数量
FID_TABLENAME,1606,C,表名
FID_FIELDNAME,1607,C,字段名
FID_JDBZ,1608,C,借贷标志
FID_HYZ,1609,C,合约状态
FID_HYB,1610,C,合约标题
FID_JKHH,1611,C,借方客户号
FID_DKHH,1612,C,贷方客户号
FID_JYYB,1613,C,借方营业部
FID_DYYB,1614,C,贷方营业部
FID_ZCKZDX,1615,C,资产控制底线
FID_HYH,1616,C,合约号
FID_HYJE,1617,C,合约金额
FID_ZJZHBH,1618,C,资金账户编号
FID_RZLV,1619,C,融资利率
FID_JQRQ,1620,C,结清日期
FID_ZHYH,1621,C,子合约号
FID_JZJZH,1622,C,借方资金账号
FID_DZJZH,1623,C,贷方资金账号
FID_JZJYYB,1624,C,借方资金营业部
FID_DZJYYB,1625,C,贷方资金营业部
